Timestamp for sample frequency every 1 min,Temperature_Fahrenheit,Relative_Humidity
2020-08-25 18:43:00,92.0700,42.1900
2020-08-25 18:44:00,90.3500,54.0600
2020-08-25 18:45:00,89.6400,55.9800
2020-08-25 18:46:00,89.0600,54.2100
2020-08-25 18:47:00,88.5800,55.0000
2020-08-25 18:48:00,88.1200,55.6800
2020-08-25 18:49:00,87.7500,56.1600
2020-08-25 18:50:00,87.4200,56.6200
2020-08-25 18:51:00,87.0900,57.1100
2020-08-25 18:52:00,86.9800,57.5400
2020-08-25 18:53:00,86.7400,57.9000
2020-08-25 18:54:00,86.5300,58.2700
2020-08-25 18:55:00,86.3600,58.6100
2020-08-25 18:56:00,86.2000,58.9700
2020-08-25 18:57:00,86.0700,59.2500
2020-08-25 18:58:00,85.9500,59.5200
2020-08-25 18:59:00,85.8400,59.8600
2020-08-25 19:00:00,85.7200,60.1000
2020-08-25 19:01:00,85.6400,60.3500
2020-08-25 19:02:00,85.5500,60.5600
2020-08-25 19:03:00,85.4700,60.6500
2020-08-25 19:04:00,85.3900,60.8300
2020-08-25 19:05:00,85.3400,61.0200
2020-08-25 19:06:00,85.2800,61.1700
2020-08-25 19:07:00,85.2200,61.3200
2020-08-25 19:08:00,85.1600,61.4100
2020-08-25 19:09:00,85.1000,61.5700
2020-08-25 19:10:00,85.0800,61.6900
2020-08-25 19:11:00,85.0300,61.9300
2020-08-25 19:12:00,84.9900,62.1800
2020-08-25 19:13:00,84.9500,62.3300
2020-08-25 19:14:00,84.8900,62.4500
2020-08-25 19:15:00,84.8700,62.5100
2020-08-25 19:16:00,84.8300,62.6000
2020-08-25 19:17:00,84.7900,62.7300
2020-08-25 19:18:00,84.7600,62.8200
2020-08-25 19:19:00,84.7400,62.9400
2020-08-25 19:20:00,84.7000,63.0000
2020-08-25 19:21:00,84.6800,63.0900
2020-08-25 19:22:00,84.6400,63.1500
2020-08-25 19:23:00,84.6200,63.2100
2020-08-25 19:24:00,84.6200,63.2100
2020-08-25 19:25:00,84.5800,63.2100
2020-08-25 19:26:00,84.5600,63.2100
2020-08-25 19:27:00,84.5200,63.1800
2020-08-25 19:28:00,84.5100,63.1800
2020-08-25 19:29:00,84.4900,63.2700
2020-08-25 19:30:00,84.4700,63.2700
2020-08-25 19:31:00,84.4500,63.3400
2020-08-25 19:32:00,84.4300,63.3400
2020-08-25 19:33:00,84.4100,63.3700
2020-08-25 19:34:00,84.3900,63.4300
2020-08-25 19:35:00,84.3700,63.4900
2020-08-25 19:36:00,84.3500,63.5500
2020-08-25 19:37:00,84.3300,63.6100
2020-08-25 19:38:00,84.3100,63.6700
2020-08-25 19:39:00,84.2700,63.7600
2020-08-25 19:40:00,84.2500,63.8200
2020-08-25 19:41:00,84.2500,63.8500
2020-08-25 19:42:00,84.2200,64.0400
2020-08-25 19:43:00,84.2000,64.1900
2020-08-25 19:44:00,84.1800,64.3100
2020-08-25 19:45:00,84.1600,64.4000
2020-08-25 19:46:00,84.1200,64.4000
2020-08-25 19:47:00,84.1200,64.5000
2020-08-25 19:48:00,84.0800,64.5600
2020-08-25 19:49:00,84.0600,64.6200
2020-08-25 19:50:00,84.0400,64.6200
2020-08-25 19:51:00,84.0200,64.7100
2020-08-25 19:52:00,84.0200,64.8600
2020-08-25 19:53:00,83.9800,65.0800
2020-08-25 19:54:00,83.9600,65.1400
2020-08-25 19:55:00,83.9500,65.2000
2020-08-25 19:56:00,83.9300,65.2600
2020-08-25 19:57:00,83.9100,65.3500
2020-08-25 19:58:00,83.8900,65.4100
2020-08-25 19:59:00,83.8700,65.4400
2020-08-25 20:00:00,83.8500,65.5300
2020-08-25 20:01:00,83.8100,65.6600
2020-08-25 20:02:00,83.8100,65.7800
2020-08-25 20:03:00,83.8100,65.8700
2020-08-25 20:04:00,83.7900,65.9000
2020-08-25 20:05:00,83.7500,66.0200
2020-08-25 20:06:00,83.7300,66.1100
2020-08-25 20:07:00,83.7100,66.2000
2020-08-25 20:08:00,83.6900,66.2700
2020-08-25 20:09:00,83.6700,66.3300
2020-08-25 20:10:00,83.6600,66.3900
2020-08-25 20:11:00,83.6400,66.4800
2020-08-25 20:12:00,83.6200,66.4800
2020-08-25 20:13:00,83.6200,66.5700
2020-08-25 20:14:00,83.5800,66.6300
2020-08-25 20:15:00,83.5600,66.6900
2020-08-25 20:16:00,83.5200,66.7200
2020-08-25 20:17:00,83.5200,66.7800
